date,month,source,peak_mm,peak_in,active_cells,tag_source,path
1998-07-29,7,MYRORSS,63.210575103759766,2.4886053190456603,29274,raster,data/historical/mesh_0.05deg/1998/mesh_19980729.tif
1998-07-30,7,MYRORSS,90.1620864868164,3.5496884443628507,30029,raster,data/historical/mesh_0.05deg/1998/mesh_19980730.tif
1998-07-31,7,MYRORSS,59.306640625,2.3349071112204727,27756,raster,data/historical/mesh_0.05deg/1998/mesh_19980731.tif
1998-08-01,8,MYRORSS,56.50537872314453,2.2246212095726197,26808,raster,data/historical/mesh_0.05deg/1998/mesh_19980801.tif
1998-08-02,8,MYRORSS,63.97118377685547,2.518550542395885,14421,raster,data/historical/mesh_0.05deg/1998/mesh_19980802.tif
1998-08-03,8,MYRORSS,75.00824737548828,2.9530806053341845,16073,raster,data/historical/mesh_0.05deg/1998/mesh_19980803.tif
1998-08-04,8,MYRORSS,105.373046875,4.1485451525590555,12243,raster,data/historical/mesh_0.05deg/1998/mesh_19980804.tif
1998-08-05,8,MYRORSS,54.89095687866211,2.161061294435516,9427,raster,data/historical/mesh_0.05deg/1998/mesh_19980805.tif
1998-08-06,8,MYRORSS,87.09160614013672,3.4288033913439655,7787,raster,data/historical/mesh_0.05deg/1998/mesh_19980806.tif
1998-08-07,8,MYRORSS,63.35289001464844,2.494208268293246,13565,raster,data/historical/mesh_0.05deg/1998/mesh_19980807.tif
1998-08-08,8,MYRORSS,73.31793975830078,2.8865330613504248,8792,raster,data/historical/mesh_0.05deg/1998/mesh_19980808.tif
1998-08-09,8,MYRORSS,66.24835968017578,2.6082031370147947,14999,raster,data/historical/mesh_0.05deg/1998/mesh_19980809.tif
1998-08-10,8,MYRORSS,78.24716186523438,3.080596923828125,18084,raster,data/historical/mesh_0.05deg/1998/mesh_19980810.tif
1998-08-11,8,MYRORSS,94.19918823242188,3.7086294579693653,26122,raster,data/historical/mesh_0.05deg/1998/mesh_19980811.tif
1998-08-12,8,MYRORSS,60.115638732910156,2.366757430429534,18959,raster,data/historical/mesh_0.05deg/1998/mesh_19980812.tif
1998-08-13,8,MYRORSS,72.27659606933594,2.8455352783203125,17352,raster,data/historical/mesh_0.05deg/1998/mesh_19980813.tif
1998-08-14,8,MYRORSS,88.89303588867188,3.4997258223886565,20717,raster,data/historical/mesh_0.05deg/1998/mesh_19980814.tif
1998-08-15,8,MYRORSS,58.5406608581543,2.3047504274863897,15063,raster,data/historical/mesh_0.05deg/1998/mesh_19980815.tif
1998-08-16,8,MYRORSS,99.03196716308594,3.898896345003384,13545,raster,data/historical/mesh_0.05deg/1998/mesh_19980816.tif
